Date,Open,High,Low,Close
12/11/15,"10,408.86","10,408.86","9,956.71","9,976.65"
12/18/15,"9,977.82","10,282.24","9,880.42","9,967.65"
12/24/15,"10,017.13","10,290.36","9,961.05","10,258.55"
12/31/15,"10,225.99","10,318.42","10,142.34","10,143.42"
1/8/16,"10,020.05","10,039.96","9,513.25","9,528.77"
1/15/16,"9,575.18","9,644.45","9,192.07","9,299.62"
1/22/16,"9,343.13","9,437.79","9,343.13","9,426.91"
1/29/16,"9,393.54","9,632.72","9,258.66","9,632.70"
2/5/16,"9,578.92","9,651.20","9,276.34","9,390.33"
2/12/16,"9,294.88","9,315.96","8,944.05","9,229.68"
2/19/16,"9,317.94","9,551.63","9,275.73","9,485.96"
2/26/16,"9,485.77","9,682.93","9,325.24","9,619.79"
3/4/16,"9,615.17","10,010.66","9,558.86","9,968.41"
3/11/16,"9,922.38","10,105.02","9,826.52","10,104.19"
3/18/16,"10,073.33","10,248.07","9,970.95","10,223.43"
3/24/16,"10,204.71","10,232.80","10,003.98","10,086.60"
4/1/16,"10,105.12","10,281.69","10,048.52","10,219.96"
4/8/16,"10,227.12","10,234.16","10,004.77","10,119.69"
4/15/16,"10,154.08","10,377.66","10,114.45","10,355.57"
4/22/16,"10,315.65","10,572.24","10,304.22","10,511.00"
4/29/16,"10,487.83","10,593.21","10,370.35","10,436.92"
5/6/16,"10,450.13","10,503.41","10,230.50","10,308.83"
5/13/16,"10,300.66","10,424.68","10,210.26","10,228.06"
5/20/16,"10,243.20","10,355.25","10,119.65","10,250.49"
5/27/16,"10,237.99","10,475.77","10,222.31","10,469.52"
6/3/16,"10,479.88","10,504.46","10,369.50","10,487.95"
6/10/16,"10,508.50","10,648.05","10,417.11","10,446.10"
6/17/16,"10,400.15","10,452.62","10,166.98","10,347.94"
6/24/16,"10,456.92","10,641.17","10,164.42","10,183.52"
7/1/16,"10,084.48","10,535.79","9,918.72","10,515.76"
7/8/16,"10,452.48","10,582.45","10,308.22","10,571.78"
7/15/16,"10,606.03","10,815.43","10,600.16","10,773.12"
7/22/16,"10,773.11","10,811.74","10,733.09","10,805.04"
7/29/16,"10,787.57","10,797.99","10,692.83","10,785.51"
8/5/16,"10,768.75","10,782.87","10,619.39","10,782.87"
8/12/16,"10,789.85","10,848.19","10,761.07","10,822.41"
8/19/16,"10,838.34","10,892.15","10,754.65","10,829.15"
8/26/16,"10,798.10","10,879.28","10,710.06","10,749.32"
9/2/16,"10,753.45","10,867.85","10,704.00","10,856.92"
9/9/16,"10,879.64","10,903.86","10,613.53","10,613.53"
9/16/16,"10,563.73","10,760.59","10,487.80","10,532.27"
9/23/16,"10,533.42","10,818.11","10,533.42","10,717.99"
